index,Papel,Segmento,Cotação,FFO Yield,Dividend Yield,P/VP,Valor de Mercado,Liquidez,Qtd de imóveis,Preço do m2,Aluguel por m2,Cap Rate,Vacância Média,Endereço
62,CEOC11,Lajes Corporativas,5458,"10,88%","11,27%",69,99.100.700,43.135,1,"7.685,92",99759,"12,98%","0,00%","Avenida Joao Cabral De Mello Neto, 850, 2º, 3º, 4º, 8º, 9º,10º,11º E 12º Andares, Barra Da Tijuca, Rio De Janeiro/RJ, Brasil, 22775-057"
319,SAIC11B,Lajes Corporativas,3788,"-1,33%","0,00%",68,54.158.600,0,1,"4.716,47",000,"0,00%","100,00%","SIA Trecho 01  Lotes 630, 640, 650, 660, 670, 680, 690, 700, 710, 720, 730, 740, 750, 760, 770 e 780 - BRASÍLIA - DF"
8,AIEC11,Lajes Corporativas,6166,"14,90%","15,16%",65,297.509.000,338.942,2,"12.608,50","2.260,90","17,93%","0,00%","Avenida das Nações Unidas, 14.171 - Chucri Zaidan - São Paulo - SP,Avenida Presidente Wilson, 118 - Centro - Rio de Janeiro - RJ"
35,BLMO11,Lajes Corporativas,"21.775,00","1,29%","1,57%",65,82.679.700,74.995,1,"12.833,10",46189,"3,60%","0,00%","Av. das Nações Unidas, nº 12.901, São Paulo - SP"
85,DRIT11B,Lajes Corporativas,8600,"8,79%","8,45%",65,39.841.800,281,6,"7.960,36",87455,"10,99%","7,79%","RUA JAMES JOULE, 65, SÃO PAULO - SP,AV DAS NAÇÕES UNIDAS, 19707, SÃO PAULO - SP,AV BRIGADEIRO FARIA LIMA, 1306, SÃO PAULO - SP,RUA DO RÓCIO, 350, SÃO PAULO - SP,ALAMEDA SANTOS, 787, SÃO PAULO - SP,RUA RAMOS BATISTA, 198, SÃO PAULO - SP"
391,XTED11,Lajes Corporativas,882,"-0,90%","0,00%",64,44.228.400,0,1,"2.730,23",000,"0,00%","0,00%","Avenida Rui Barbosa, 2390, Cajueiros, Macae/RJ, Brasil, 27915-012"
148,HGJH11,Lajes Corporativas,19129,"8,87%","0,00%",64,335.342.000,0,2,"26.470,10","2.561,57","9,68%","0,00%","Rua Amauri, 255 - São Paulo - SP,Rua Jerônimo da Veiga, 384 - São Paulo - SP"
73,CXCE11B,Lajes Corporativas,3998,"11,79%","11,43%",61,68.483.700,15.485,1,"3.239,55",42465,"13,11%","0,00%","Av Presidente Vargas, 2655, Centro, Rio de Janeiro - RJ"
260,PRSV11,Lajes Corporativas,13198,"2,63%","0,00%",60,25.736.100,3.241,1,"2.303,90",27570,"11,97%","100,00%","Avenida Presidente Vargas, 850, Centro, Rio de Janeiro - RJ"
59,CBOP11,Lajes Corporativas,4208,"17,44%","14,81%",57,59.543.200,34.634,1,"3.583,72",26200,"7,31%","37,31%","Avenida Marcos Penteado Ulhôa Rodrigues, 939, Tamboré, Barueri - SP"
