Papel,Segmento,Cotação,FFO Yield,Dividend Yield,P/VP,Valor de Mercado,Liquidez,Qtd de imóveis,Preço do m2,Aluguel por m2,Cap Rate,Vacância Média,Endereço
BLMO11,Lajes Corporativas,"21.775,00","1,29%","1,57%",65,82.679.700,74.995,1,"12.833,10",46189,"3,60%","0,00%","Av. das Nações Unidas, nº 12.901, São Paulo - SP"
BLMR11,Títulos e Val. Mob.,638,"15,19%","13,69%",85,162.956.000,359.955,0,000,000,"0,00%","0,00%",
BMLC11,Híbrido,10050,"8,90%","8,89%",89,100.340.000,58.918,2,"13.569,90","1.263,19","9,31%","0,00%","Rua Lauro Muller, 116, 21º, 27º, 28º E 40º Andares, Botafogo, Rio De Janeiro/RJ, Brasil, 22290-160,Rua Joaquim Floriano, 466, Sem Complemento, Itaim Bibi, São Paulo/SP, Brasil, 04534-002"
BPFF11,Outros,6065,"19,46%","13,13%",85,272.460.000,307.657,0,000,000,"0,00%","0,00%",
BPML11,Shoppings,5850,"4,65%","4,67%",47,251.847.000,13.853,4,"3.242.490,00","673.199,86","20,76%","5,09%","Av. Maestro Paulo e Silva, 400, Shopping, Rio de Janeiro, RJ, 21920-445,Rua América Deolindo Garla, 224, Shopping, Lodrina, PR, 86079-225,Av. Severino Ballesteros, 850 - Cabral, Contagem - MG, 32110-005,Q. 107, Norte Avenida, NS 5, s/n, Shopping, Palmas, TO, 77001-098"
BPRP11,Outros,9127,"11,51%","11,44%",84,123.200.000,111,1,"5.338,59",63926,"11,97%","0,00%","Avenida Pl Do Brasil, 3001, Fontes, Aruja/SP, Brasil, 07415-000"
BRCO11,Logística,9313,"8,84%","8,55%",77,1.376.350.000,2.677.200,11,"3.086,39",31674,"10,26%","12,06%","Rodovia Dom Gabriel Paulino Bueno Couto nº 1936 - Itupeva - SP,Avenida Saul Elkin, Londrina - PR,Avenida Helio Ossamu Daikuara nº 1.135, Embu da Artes - SP,Rod. BA-535. km 23, Lauro de Freitas - BA,Rua Olympia Semerano, nº 381, 675 e 7337, São Paulo - SP,Estrada Turística do Jaraguá, nº 50, Jaraguá, São Paulo - SP,Rodovia Dom Gabriel Paulino Bueno Couto, nº 1606, Itupeva - SP,Avenida Tabai-Canoas (BR 386), nº 1.200, Canoas - RS,Avenida Marginal Direita do Tietê, nº 342, São Paulo - SP,Avenida D com acesso a Rodovia Presidente Dutra, KM 298, Resende - RJ,Avenida Wilson Tavares Ribeiro, nº 1.651 - Contagem - MG"
BRCR11,Híbrido,5503,"10,48%","10,38%",55,1.465.900.000,1.509.370,9,"9.829,49","1.196,88","12,18%","11,70%","Avenida Doutor Chucri Zaidan, 1240, Vila Sao Francisco Zona Sul, Sao Paulo/SP, Brasil, 04711-130,Avenida Das Nações Unidas 8501, Pinheiros, São Paulo, SP, 05425-070,Avenida Henrique Valadares, 28, Centro, Rio De Janeiro/RJ, Brasil, 00020-231,Rua Volkswagen 291, São Paulo/SP, Brasill, 04344-020,Rua Verbo Divino, 1488, Chácara Santo Antônio (zona Sul), São Paulo/SP, Brasil, 04719-002,Avenida João Cabral de Mello Neto 850, Rio de Janeiro, RJ, Brasil, 22775-057,Avenida Das Americas, 4200, Bloco 5, Barra Da Tijuca, Rio De Janeiro/RJ, Brasil, 22640-102,Avenida Das Nacoes Unidas, 14401, Vila Gertrudes, Sao Paulo/SP, Brasil, 04794-000,Avenida Indianopolis, 3096, Indianópolis, São Paulo/SP, Brasil, 04062-904"
BREV11,Híbrido,10300,"6,61%","7,26%",85,99.621.700,1.830,13,"17.365,50","1.417,05","8,16%","0,00%","Rua Fidêncio Ramos, 213 - São Paulo/SP,Alameda Itu, 852 - São Paulo/SP,Rua James Joule, 92 - São Paulo/SP,Avenida Brigadeiro Faria Lima, 3015 - São Paulo/SP,Avenida Doutor Cardoso de Melo, 1336 - São Paulo/SP,Rua Helena, 260 - São Paulo/SP,Rua Joaquim Floriano, 413 - São Paulo/SP,Rua Gomes de Carvalho, 1356 - São Paulo/SP,Rua Joaquim Floriano, 100 - São Paulo/SP,Rua Cristiano Viana, 401 - São Paulo/SP,Avenida Brigadeiro Faria Lima, 2055 - São Paulo/SP,Alameda Santos, 1940 - São Paulo/SP,Rua Tabapuã, 500"
BRIM11,Residencial,"1.030,22","9,08%","11,98%",94,127.888.000,0,4,68837,000,"0,00%","0,00%","Terreno Tumiaru, situado em rua Homônima,Andrade Fernandes, em Alto de Pinheiros,Rua do Estilo Barroco 623-665, Chácara Santo Antônio/SP,Rua Senador Pádua Sales, Pacaembu-SP"
BRLA11,Outros,13885,"5,40%","9,20%",88,392.605.000,143.684,6,"1.273,44",6948,"5,46%","0,00%","Km 101, Da Br-101, 101, Sem Complemento, , Conde/PB, Brasil, 58322-000,Rua Alexandre Barreto Cavalcante, 74, Lote 01b Quadra 07, Alterosa, Ribeirao Das Neves/MG, Brasil, 33821-105,Rua Jose Lana, 850, Sem Complemento, Brilhante I, Itajai/SC, Brasil, 88318-290,Rodovia Dos Imigrantes, Km 501, Sem Complemento, Distrito Industrial, Cuiaba/MT, Brasil, 78098-325,Estrada Ladeira Grande, S/n, Área 01-a, Parque Industrial, Viana/ES, Brasil, 29136-537,Setor 2, Setor 2, S/n, Lote 08b3, Setor 2, Lucas Do Rio Verde/MT, Brasil, 78455-000"
BTAL11,Outros,8700,"9,30%","11,31%",83,520.498.000,1.000.870,9,"1.470,94",15625,"10,62%","0,00%","Rodovia Br467, Br 163, Km 256.5, Jardim Europa, Toledo/PR, Brasil, 85907-060,Avenida Presidente Tancredo De Almeida Neves, 1171, Karfan, Itumbiara/GO, Brasil, 75516-475,Rodovia Br 242, Km 75, S/n, Zona Rural, Nova Ubirata/MT, Brasil, 78888-000,Rua Frutal 689, Centro, Iturama/MG, Brasil, 38280-971,Rodovia Pr 182, Km 34  Maripa/pr, Km 34,Perola Independente , Maripa/PR, Brasil, 85958-000,Estrada Da Pedreira, 151, 14 De Novembro, Cascavel/PR, Brasil, 85804-180,Rua Rio Verde, 101, Paul, Vila Velha/ES, Brasil, 29115-210,Rodovia Pr 364, Km 579, Palotina/PR, Brasil, 85950-000,Br 277, Km 533, Centro De Recebimento De Grão I.riedi, Colonia Murillo, Ibema/PR, Brasil, 85478-000"
BTCI11,Títulos e Val. Mob.,888,"16,17%","3,47%",88,883.748.000,959.159,0,000,000,"0,00%","0,00%",
BTCR11,Títulos e Val. Mob.,8800,"12,48%","11,20%",92,423.289.000,0,0,000,000,"0,00%","0,00%",
BTLG11,Híbrido,9360,"5,15%","9,41%",95,1.971.860.000,4.380.720,20,"3.953,92",18581,"4,70%","0,51%","Rua Dona Catharina Maria De Jesus, 400, Bonsucesso, Guarulhos/SP, Brasil, 07175-500,Estrada De Sao Goncalo, S/ Nº, Altura Aproximada Do Km 530, Humildes , Feira De Santana/BA, Brasil, 44135-000,Avenida Brigadeiro Faria Lima, 186, Pinheiros, Sao Paulo/SP, Brasil, 05426-200,Estrada Municipal Thereza Thomazella, 432, Bairro Dos Pires, Extrema/MG, Brasil, 00037-640,Estrada Ferreira Guedes, 784, Potuvera, Itapecerica Da Serra/SP, Brasil, 06885-150,Largo De Santana, 780, Santana, Sao Paulo/SP, Brasil, 02402-003,Estrada Rio Douro, 800, Mantiquira, Duque De Caxias/RJ, Brasil, 25245-810,Estrada Do Capuava, 1000, Chacara Ondas Verdes, Cotia/SP, Brasil, 06715-725,Rua Ronald Cladstone Negri, 557, Polo De Alta Tecnologia De Campinas Polo I, Campinas/SP, Brasil, 13069-472,Rodovia Ba535 Via Parafuso, Km 14, Cep 42849-000, Polo Logístico, Camacari/BA, Brasil, 42800-331,Br 116, 2271, Verife, Itaitinga/CE, Brasil, 61880-000,Rodovia Dom Gabriel Paulino Bueno Couto, Km 80,2, Esquina Com Via Dos Ipes, Bairro Do Jacaré, Cabreuva/SP, Brasil, 13315-000,Avenida Charles Goodyear, S/n, Cururuquara, Santana De Parnaiba/SP, Brasil, 06524-115,Rodovia Marechal Rondon, Km 536, 21500, Avenida, Aracatuba/SP, Brasil, 16027-231,Avenida Beirario, 5777, Distrito Industrial Deputado Simao Da Cunha, Santa Luzia/MG, Brasil, 33040-260,Rodovia Anhanguera, S/n, Km 308, Parque Residencial Candido Portinari, Ribeirao Preto/SP, Brasil, 14093-500,Rodovia Br470, 04, Machados, Navegantes/SC, Brasil, 88373-330,Avenida Alberto Soares Sampaio, S/n, Capuava, Maua/SP, Brasil, 09380-000,Avenida Francisco Roveri, S/n, Parque Almerinda Pereira Chaves, Jundiai/SP, Brasil, 13212-541,Rua Perola, 350, N/a, Jardim Santa Esmeralda, Hortolandia/SP, Brasil, 13186-546"
BTRA11,Outros,8393,"11,85%","11,68%",61,282.387.000,537.304,6,414,050,"12,17%","0,00%","Area Rural, Sn, N/a, Sao Desiderio/BA, Brasil, 47820-000,Rodovia Br 364, Km 888, Campo Novo Do Parecis/MT, Brasil, 78360-000,Zona Rural, S/n, Zona Rural, Tapurah/MT, Brasil, 78573-000,Zona Rural, S/n, Zona Rural, Nova Mutum/MT, Brasil, 78450-000,Area Rural, Sn, N/a, Nova Maringa/MT, Brasil, 78445-000,Zona Rural, S/n, Zona Rural, Campo Verde/MT, Brasil, 78840-000"
BTSG11,Híbrido,10000,"15,00%","5,28%",73,77.501.500,0,1,"4.109,85",66846,"16,26%","0,00%","Avenida dos Alecrins, 430, Distrito Industrial, Pouso Alegre, Minas Gerais, Brasil"
BTWR11,Lajes Corporativas,10700,"5,26%","4,88%",96,86.591.900,5,1,"4.292,25",24768,"5,77%","0,00%","Rua Qd. B-27, Av. Dep. Jamel Cecílio, 56 - Jardim Goiás, Goiânia"
