Papel,Segmento,Cotação,FFO Yield,Dividend Yield,P/VP,Valor de Mercado,Liquidez,Qtd de imóveis,Preço do m2,Aluguel por m2,Cap Rate,Vacância Média,Endereço
HTMX11,Hotel,10797,"9,21%","6,03%",78,162.423.000,287.210,24,"4.662,83",30826,"6,61%","0,00%","Av. Jandira 501, 107, São Paulo, SP, 04080-001,Rua Bandeira Paulista 555, 107, São Paulo, SP, 04532-011,R. Manuel Guedes 320, 107, São Paulo, SP, 04536-070,Av. Ibirapuera 2577, 107, São Paulo, SP, 04029-200,Rua Iguatemi 150, 107, São Paulo, SP, 01451-010,Av Roque Petroni Jr. 801, 107, São Paulo, SP, 04707-055,Av. Nove de Julho 3957, 107, São Paulo, SP, 01407-000,Rua Fernandes Moreira 1293, 107, São Paulo, SP, 04716-003,Rua Heinrich Hertz 14, 107, São Paulo, SP, 04575-000,Av. Eng. Luís Carlos Berrini 853, 107, São Paulo, SP, 04571-000,Rua João Cachoeira 111, 107, São Paulo, SP, 04535-010,Av. Briga Faria Lima 3989, 107, São Paulo, SP, 04538-133,Rua Fernandes Moreira 1371, 107, São Paulo, SP, 04716-003,Av. Paulista 2355, 107, São Paulo, SP, 01311-300,Rua da Consolação 2303, 107, São Paulo, SP, 01301-100,Rua Guararapes 1889, 107, São Paulo, SP, 04561-004,Alameda Campinas 540, 107, São Paulo, SP, 01404-000,R. Funchal 281, 107, São Paulo, SP, 04551-060,Rua Quintana 963, 107, São Paulo, SP, 04569-011,Rua Vergueiro 2740, 107, São Paulo, SP, 04102-001,Rua Haddok Lobo 294, 107, São Paulo, SP, 01414-000,Rua Tavares Cabral 61, 107, São Paulo, SP, 54223-030,Rua Baronesa de Bela Vista, 801, Vila Congonhas, São Paulo, SP, 04612-002,Rua Arizona 1517, 107, São Paulo, SP, 04567-010"
HUCG11,Hospital,6600,"9,04%","9,58%",65,74.052.000,7.105,2,"1.115,46",000,"0,00%","0,00%","Rua Denise Alves de Medeiros Campina Grande - Paraíba,Rua Denise Alves de Medeiros Campina Grande - Paraíba"
HUSC11,Outros,10000,"10,30%","10,02%",68,79.461.300,6.419,1,"1.070,35",13803,"12,90%","0,00%","Rodovia Cachoeiro - Safra BR 482 - Km 05, Bairro: Fazenda União - Cachoeiro do Itapemerim/ES"
IAGR11,Títulos e Val. Mob.,9848,"9,58%","1,36%",95,24.191.700,9.610,0,000,000,"0,00%","0,00%",
IBCR11,Títulos e Val. Mob.,7700,"11,71%","17,47%",82,73.798.600,205.836,0,000,000,"0,00%","0,00%",
IBFF11,Títulos e Val. Mob.,6640,"8,28%","3,68%",93,44.267.600,0,0,000,000,"0,00%","0,00%",
IDFI11,Híbrido,5381,"15,44%","88,12%",97,110.737.000,3.128,1,000,000,"0,00%","0,00%",
IFIE11,Títulos e Val. Mob.,7198,"14,26%","0,00%",95,64.817.600,0,0,000,000,"0,00%","0,00%",
IRDM11,Títulos e Val. Mob.,9035,"12,00%","14,29%",98,3.291.800.000,4.940.610,0,000,000,"0,00%","0,00%",
IRIM11,Híbrido,9190,"11,96%","15,95%",94,176.448.000,54.213,0,000,000,"0,00%","0,00%",
ITIP11,Títulos e Val. Mob.,7599,"21,85%","14,02%",95,56.852.000,65.743,0,000,000,"0,00%","0,00%",
ITIT11,Títulos e Val. Mob.,7420,"13,83%","9,23%",98,66.816.700,56.339,0,000,000,"0,00%","0,00%",
JASC11,Outros,10100,"2,23%","2,59%",86,183.849.000,2,6,"9.146,66",988,"0,11%","0,00%","Avenida Sargento Hermínio, Ceara,Av. 13 de maio, 755, Bairro de Fátima - Fortaleza - CE,Av Deputado Oswaldo Studart com a Treze de Maio, cidade de Fortaleza, estado do Ceará,Avenida Godofredo Maciel, nº 2.560,Av. Washington Soares, 3535, Bairro: Edson Queiroz/ Fortaleza-CE,Avenida Sargento Hermínio, Ceara"
JFLL11,Residencial,5900,"19,65%","12,61%",58,88.535.300,96.920,2,"5.963,94","1.258,94","21,11%","39,05%","Av. Dr. Cardoso de Melo, 699, Vila Olímpia, São Paulo  SP,Av. Eusébio Matoso, 218 - Pinheiros, São Paulo - SP"
JGPX11,Híbrido,9545,"10,81%","13,48%",99,80.950.900,179.435,0,000,000,"0,00%","0,00%",
JPPC11,Híbrido,13000,"-5,80%","5,24%",36,7.150.000,344,0,000,000,"0,00%","0,00%",
JRDM11,Shoppings,7849,"8,26%","9,12%",88,198.028.000,25.738,1,"6.786,78",69164,"10,19%","1,20%","Avenida Giovanni Gronchi, 5819, Vila Andrade, São Paulo/SP, Brasil, 05724-003"
JSAF11,Títulos e Val. Mob.,7810,"11,84%","12,95%",85,122.855.000,382.019,0,000,000,"0,00%","0,00%",
JSRE11,Híbrido,6324,"9,13%","9,19%",56,1.313.330.000,2.318.120,6,"11.103,60","1.192,72","10,74%","8,84%","Av. Das Nações Unidas, 14171, São Paulo - SP,Av. Das Nações Unidas, 14171, São Paulo - SP,Av. Jornalista Roberto Marinho, 85, Cidade Monções, Sao Paulo - SP,Praia de Botafogo, 440, Botafogo, Rio de Janeiro - RJ,Av. Paulista, 2064, Bela Vista, São Paulo - SP,Rua Eugênio de Medeiros, 303, Pinheiros, São Paulo - SP"
KCRE11,Títulos e Val. Mob.,9155,"8,81%","8,23%",94,329.580.000,540.706,0,000,000,"0,00%","0,00%",
KFOF11,Títulos e Val. Mob.,7781,"11,10%","10,77%",88,352.737.000,804.519,0,000,000,"0,00%","0,00%",
KISU11,Títulos e Val. Mob.,794,"11,49%","11,34%",93,350.917.000,804.458,0,000,000,"0,00%","0,00%",
KIVO11,Títulos e Val. Mob.,8701,"9,24%","16,59%",90,105.728.000,188.564,0,000,000,"0,00%","0,00%",
KNCR11,Títulos e Val. Mob.,9877,"8,09%","13,36%",98,5.639.480.000,10.642.100,0,000,000,"0,00%","0,00%",
KNHY11,Títulos e Val. Mob.,9665,"9,47%","13,08%",99,1.787.140.000,2.426.780,0,000,000,"0,00%","0,00%",
KNIP11,Títulos e Val. Mob.,9099,"5,78%","12,88%",97,7.286.310.000,7.389.110,0,000,000,"0,00%","0,00%",
KNRE11,Residencial,066,"53,50%","47,55%",87,12.241.100,9.739,0,000,000,"0,00%","0,00%",
KNRI11,Híbrido,13657,"7,98%","7,81%",85,3.299.140.000,3.052.420,20,"4.109,37",34599,"8,42%","0,10%","Estrada da Lama Preta, 2.805, Santa Cruz, Rio de Janeiro - RJ,Rua do Níquel, 205, Parque Industrial, Itaquaquecetuba - SP,Rua Buenos Aires, 15, Centro, Rio de Janeiro - RJ,Rodovia Vice Prefeito Hermenegildo Tonolli, km 2, Jundiaí - SP,Rua Gomes de Carvalho, 1.195, Vila Olimpia, São Paulo - SP,Rua Diogo Moreira, 184, São Paulo - SP,Rua Dr. Fernandes Coelho, 64, Pinheiros, São Paulo - SP,Rodovia Mogi-Dutra (SP-088), 11.100 (km 41,4), Mogi das Cruzes - SP,Rodovia dos Bandeirantes, km 69, Louveira - SP,Avenida Parque Industrial, 580, Sumaré - SP,Rua Voluntários da Pátria, 113, Botafogo, Rio de Janeiro - RJ,Av. Nações Unidas, 14.171 , São Paulo - SP,Rua Joaquim Floriano, 913, Itaim Bibi, São Paulo - SP,Avenida Paulista, 2.421, Bela Vista, São Paulo - SP,Rodovia Fernão Dias, km 863, Algodão, Pouso Alegre - MG,Rod. Dom Gabriel Paulino Bueno Couto, km 82 - Cabreúva - SP28,42,Avenida dos Andradas, 3000, Santa Efigênia, Belo Horizonte - MG,Avenida Caminho de Goiás, 100, Rodovia Anhanguera, km 66, Jundiaí - SP,Rua Humaitá, 275, Humaitá, Rio de Janeiro - RJ,Avenida Presidente Juscelino Kubitschek, 1.830, São Paulo - SP"
KNSC11,Títulos e Val. Mob.,8618,"8,21%","12,54%",98,1.144.110.000,3.914.460,0,000,000,"0,00%","0,00%",
LASC11,Shoppings,10500,"7,16%","7,89%",99,308.731.000,3.856,2,"4.106,45",34437,"8,39%","2,68%","Avenida Visc. de Souza Franco, 776 - Reduto, Belém - PA, 66053-0,Avenida, Dr. Silvio Bastos Tavares, 330 - Parque dos Rodoviários, Campos dos Goytacazes - RJ, 28051-250"
LATR11B,Residencial,1000,"-15,56%","0,00%",93,1.241.040,0,0,000,000,"0,00%","0,00%","Rua Santa Isabel, nº 272, Higienópolis, São Paulo - SP"
LGCP11,Logística,7499,"14,81%","9,74%",73,204.937.000,219.740,5,"2.520,22",38499,"15,28%","0,33%","Rod BR 153, S/N Compl. KM 5.5 QD CH LT SALA 01- Bairro Fazenda Retiro CEP: 74.620-430 Goiânia  GO ,RUA SIMAO ANTONIO, 255  CINCAO CEP: 32.371-610 - CONTAGEM  MG,AV. BRASIL, n.41.432 LOT 1 PARTE 2 PAL 48862 LOT 1 PARTE 1 PAL 48862 Bairro CAMPO GRANDE - Rio de Janeiro - RJ- CEP: 23.078-001,RUA AMÂNCIO GAIOLLI, 426 - ÁGUA CHATA CEP:07.251-250 - GUARULHOS - SP,RODOVIA BR 262, nº 222 VILA BETANIA CEP: 29.136-930 VIANA/ES"
LSPA11,Outros,10733,"12,43%","6,40%",94,43.415.000,0,0,000,000,"0,00%","0,00%",
LUGG11,Residencial,7161,"11,55%","9,20%",61,80.969.900,21.511,4,"3.533,51",56488,"15,99%","1,23%","Rua das Espatodias 610, Marajó - Belo Horizonte - MG,Rua Casemiro Augusto Rodacki, 289, Cidade Industrial - Curitiba - PR,Rua Capitão João Zaleski, 842, Lindoia - Curitiba - PR,Rua Santa Maria Rosselo, 180, Mansões Santo Antonio - Campinas - SP"
LVBI11,Logística,9431,"9,63%","9,37%",82,1.110.520.000,2.102.400,9,"2.761,23",29196,"10,57%","0,51%","Rodovia Anhanguera, km 43, Cajamar, São Paulo,Avenida Portugal, 400, Itaqui, Itapevi/SP, Brasil, 06696-060,Avenida Papa João XXIII, 3059, Loteamento Industrial Coral, Maua/SP, Brasil, 09370-800,Avenida Juiz Marco Tulio Isaac, 7001, Riacho Da Areia, Betim/MG, Brasil, 32671-072,Rua Manoel Borba Gato, 100, Esplanada Das Bandeiras, Guarulhos/SP, Brasil, 07044-220,Estrada Dos Alpes, 320, Jandira, Barueri/SP, Brasil, 00006-423,Rua Pedro De Alcantara Meira, 1001, Fazenda Velha, Araucaria/PR, Brasil, 83704-530,Rodovia Fernão Dias, KM 947.5, Extrema, MG, 37640-000,Avenida Mutinga 4935, Bairro Pirituba, Pirituba, São Paulo/SP, Brasil, 05110-903"
MALL11,Shoppings,9898,"14,85%","9,12%",82,903.159.000,1.444.710,9,"3.573,52",49889,"13,96%","3,67%",":R. Jacy Teixeira de Camargo, 940 - Jardim do Lago, Campinas - SP, 13050-913,Av. Gov. Agamenon Magalhães, 153 - Santo Amaro, Recife - PE, 50110-000,Rod. dos Metalúrgicos, 1189 - São Geraldo, Volta Redonda - RJ, 27253-005,Av. Comendador Gustavo Paiva, 2990 - Mangabeiras, Maceió - AL, 57032-901,R. Sete de Setembro, 555 - Jardim dos Ipês, Suzano - SP, 08674-210,Estrada do Portela, nº 222, Madureira, Rio de Janeiro - RJ,Av. João Durval Carneiro, 3665, Caseb - Feira de Santana - BA,Rod. Régis Bittencourt, 2643, Jardim Helena - Taboão da Serra - SP,Av. Henrique Terra, 1700 - Palmeiras, Cabo Frio - RJ, 28911-320"
MATV11,Títulos e Val. Mob.,8011,"10,97%","15,90%",88,34.124.300,10.598,0,000,000,"0,00%","0,00%",
MAXR11,Híbrido,6353,"12,73%","11,37%",51,71.512.900,191.720,9,"1.199,18",18389,"15,33%","6,82%","Parque Solon De Lucena, 563, Matriculas 1832 / 26236 / 26285, Centro, João Pessoa/PB, Brasil, 58013-131,Csa 1 Lote 02/17, 01, Lotes 02,03,04,16,17 - Csa 01 - Quadra D, Taguatinga Sul (taguatinga), Brasília/DF, Brasil, 72015-902,Av. Duque De Caxias / Avenida Da Paz, 1792, Centro, Maceio/AL, Brasil, 57020-440,Avenida Presidente Vargas, 940, Campina, Belém/PA, Brasil, 66017-000,Csa 1 Lote 02/17, 01, Lotes 02,03,04,16,17 - Csa 01 - Quadra D, Taguatinga Sul (taguatinga), Brasília/DF, Brasil, 72015-902,Avenida Eduardo Ribeiro, 442, Centro, Manaus/AM, Brasil, 69010-000,Quadra 13, 13, Lotes 18 E 19 Scs - Sc/sul, Del Lago I (itapoã), Brasília/DF, Brasil, 71591-215,Avenida Princesa Isabel, 475, Centro, Vitória/ES, Brasil, 29010-365,Avenida Duque De Caxias, 318, Praça 14 De Janeiro, Manaus/AM, Brasil, 69020-141"
MBRF11,Outros,67900,"19,91%","11,45%",88,69.029.900,0,2,"3.734,19",71203,"19,07%","4,34%","Avenida Rio Branco, 89, Centro, Rio de Janeiro/RJ,Rua Rio de Janeiro, 654, Belo Horizonte/MG"
MCCI11,Títulos e Val. Mob.,8570,"13,47%","14,73%",93,1.453.470.000,4.352.030,0,000,000,"0,00%","0,00%",
MCHF11,Títulos e Val. Mob.,901,"14,29%","14,47%",96,291.092.000,1.197.630,0,000,000,"0,00%","0,00%",
MFAI11,Híbrido,5642,"10,15%","13,46%",82,17.832.900,31.791,0,000,000,"0,00%","0,00%",
MFII11,Híbrido,9448,"12,04%","13,92%",92,391.799.000,272.748,6,21764,000,"0,00%","0,00%","Av. Paes de Barros, 455, Alto da Mooca, São Paulo-SP,Rua Cidade de Bagdá, 940, Jabaquara, São Paulo-SP,Av. Adélia Chohfi, 90 - Jardim Vera Cruz, São Paulo-SP,Rua Luís Gemin, Bairro Descampado, Campinas - SP,Av. Corifeu de Azevedo Marques, 3870, Butantã, São Paulo-SP,Av. Corifeu de Azevedo Marques, 3870, Butantã, São Paulo-SP"
MGCR11,Títulos e Val. Mob.,8099,"11,95%","15,88%",90,115.192.000,92.868,0,000,000,"0,00%","0,00%",
MGFF11,Títulos e Val. Mob.,5415,"11,43%","12,18%",78,490.091.000,755.589,0,000,000,"0,00%","0,00%",
MGHT11,Híbrido,5974,"12,00%","14,89%",71,78.485.500,90.548,1,"7.139,73",69791,"9,78%","0,00%","Rua Aspicuelta, 237, 245, 251 e 259, Vila Madalena, Sao Paulo/SP, Brasil, 05433-010"
MGLG11,Híbrido,4099,"9,65%","11,98%",67,77.396.300,40.210,0,000,000,"0,00%","0,00%","Rodovia Miguel Melhado Campos 79 - Vinhado/SP ,Rodovia Miguel Melhado Campos 79 - Vinhedo/SP"
MORC11,Títulos e Val. Mob.,9498,"10,94%","16,02%",97,122.709.000,237.330,0,000,000,"0,00%","0,00%",
MORE11,Títulos e Val. Mob.,6150,"12,80%","12,80%",76,142.626.000,379.815,0,000,000,"0,00%","0,00%",
NAVT11,Títulos e Val. Mob.,7150,"11,17%","13,98%",82,75.397.200,160.646,0,000,000,"0,00%","0,00%",
NCHB11,Títulos e Val. Mob.,8528,"13,21%","16,30%",95,144.800.000,362.534,0,000,000,"0,00%","0,00%",
NCRA11,Títulos e Val. Mob.,9278,"6,31%","15,64%",97,42.051.100,191.034,0,000,000,"0,00%","0,00%",
NCRI11,Títulos e Val. Mob.,950,"5,68%","1,15%",94,37.525.000,18.219,0,000,000,"0,00%","0,00%",
NEWL11,Híbrido,10087,"23,97%","11,53%",84,205.079.000,109.924,3,"2.827,33",46167,"16,33%","0,00%","Av. Jerome Case, 2600 - Soracaba,Rodovia RSC 453, nº 32503 - Caxias do Sul,Rua Iza Costa, 1104 - Goiania"
NEWU11,Híbrido,6190,"-0,72%","0,60%",90,45.929.800,7.910,3,"3.455,09",28990,"8,39%","47,02%","Rua Padre Carapueiro, 733, Boa Viagem - PE,Avenida Trancedo Neves, 450 - Caminho das Árvores, Salvador - BA,Rua Antônio Lumack, 96, Boa Viagem - PE"
NPAR11,Outros,1282,"213,32%","0,00%",70,1.533.140,0,0,000,000,"0,00%","0,00%",
NSLU11,Hospital,16547,"5,21%","6,39%",83,214.000.000,127.282,1,"8.900,04","1.031,22","11,59%","0,00%","Rua Das Perobas, 324, Vila Parque Jabaquara, São Paulo/SP, Brasil, 04321-120"
NVHO11,Hospital,1149,"12,87%","8,28%",82,476.772.000,1.401,4,"15.533,90","2.053,54","13,22%","0,00%","Rua Desembargador Aguiar Valim, Itaim Bibi, São Paulo, SP,Rua Doutor Alceu de Campos Rodrigues, 95, Itaim Bibi, São Paulo, SP,Rua Doutor Alceu de Campos Rodrigues, 95, Itaim Bibi, São Paulo, SP,Rua Doutor Alceu de Campos Rodrigues, 95, Itaim Bibi, São Paulo, SP"
ONEF11,Lajes Corporativas,17375,"6,45%","6,36%",86,158.286.000,63.103,1,"25.905,90","1.833,60","7,08%","0,00%","Rua Ministro Jesuino Cardoso, 454, São Paulo- SP"
ORPD11,Títulos e Val. Mob.,9300,"0,00%","0,00%",63,26.970.000,0,0,000,000,"0,00%","0,00%",
OUCY11,Híbrido,8850,"13,05%","0,00%",98,95.322.200,0,8,"2.261,00",15210,"6,73%","0,00%","Rua Alberto Neder 424 - Campo Grande,R. Vicente Romano, 168 - Parque da Mooca,Estrada Lula Chaves, 386 - Santana do Parnaíba,Rua Manoel Alves dos Santos, 190 - Londrina,Rua Via Projetada 2, 111 - Rio de Janeiro,R. JOSÉ RUSSI ESQ.C/R.RAFAEL DE CARVALHO N° 11 -SANTO ANTONIO DE POSSE ,Av. Visconde de Piraja, 602 - Loja A, Rio de Janeiro - RJ,Rua Helios Seelinger, 155 - Barra da Tijuca - RJ"
OUFF11,Títulos e Val. Mob.,6200,"13,39%","13,79%",84,112.489.000,175.820,0,000,000,"0,00%","0,00%",
OUJP11,Híbrido,9580,"16,45%","15,84%",96,311.578.000,953.457,0,000,000,"0,00%","0,00%",
OULG11,Logística,3817,"2,69%","3,98%",57,94.710.600,61.787,2,"1.037,27",8603,"8,29%","0,00%","Lote nº 21 - Distrito Industrial - Bairro Benfica - Juiz de Fora/MG,Rod. Washington Luiz, km 114, Via Projetada Aterial PD04, nº 3777"
OURE11,Híbrido,7214,"16,01%","16,82%",80,77.701.100,152.570,8,"1.843,03",15210,"8,25%","0,00%","Rua Manoel Alves dos Santos, 190 - Londrina,Rua Via Projetada 2, 111 - Rio de Janeiro,R. JOSÉ RUSSI ESQ.C/R.RAFAEL DE CARVALHO N° 11 -SANTO ANTONIO DE POSSE ,Av. Visconde de Piraja, 602 - Loja A, Rio de Janeiro - RJ,Rua Helios Seelinger, 155 - Barra da Tijuca - RJ,Rua Alberto Neder 424 - Campo Grande,R. Vicente Romano, 168 - Parque da Mooca,Estrada Lula Chaves, 386 - Santana do Parnaíba"
PATC11,Lajes Corporativas,6725,"5,11%","5,84%",88,233.857.000,226.257,6,"17.236,00","1.101,71","6,39%","2,90%","Rua Fidêncio Ramos, 308, Vila Olímpia, São Paulo - SP,Rua Pascoal Pais, 525 - São Paulo,R. Gomes de Carvalho, 1996, Vila Olímpia, São Paulo - SP,Alameda Vicente Pinzon, 51, Vila Olímpia, São Paulo - SP,Rua Ministro Jesuíno Cardoso, 454, Vila Olímpia, São Paulo - SP,Avenida Paulista, 1.842 - São Paulo"
PATL11,Logística,6193,"10,78%","11,18%",63,309.126.000,731.257,4,"1.983,92",26135,"13,17%","0,00%","Av. Nossa Senhora Auxiliadora, 831, Jundiaí - SP, CEP: 13214-855,Av. José Carlos Costa, 688  Ribeirão das Neves, MG,Av. Nossa Senhora Auxiliadora, 901, Jundiaí - SP, CEP: 13214-855,Av. Industrial Alda Mendes Bernardes, 1881  Itatiaia, RJ"
PEMA11,Títulos e Val. Mob.,4850,"28,33%","15,18%",64,26.772.000,1.150,0,000,000,"0,00%","0,00%",
PLCR11,Híbrido,8367,"22,55%","15,33%",93,176.474.000,335.928,0,000,000,"0,00%","0,00%",
PLOG11,Logística,7062,"19,27%","12,65%",66,52.965.000,66.402,1,72365,16546,"22,86%","0,00%","Rodovia PE-060  Km 14,5  Ipojuca, Pernambuco"
PLRI11,Títulos e Val. Mob.,2298,"-3,21%","31,32%",71,21.929.900,2.989,0,000,000,"0,00%","0,00%",
PORD11,Títulos e Val. Mob.,8649,"12,69%","16,53%",89,322.467.000,604.783,0,000,000,"0,00%","0,00%",
PQAG11,Logística,5216,"9,63%","9,66%",91,729.817.000,5.528,1,"11.598,20","1.088,25","9,38%","0,00%","Av. Alexandre Colares, 1188, Parque Anhanguera, São Paulo-SP"
PQDP11,Shoppings,"2.006,00","9,56%","9,08%",64,492.499.000,105.786,1,"1.849,86",23157,"12,52%","1,30%","Avenida Guilherme Campos 500, 500, Sem Complemento, Jardim Santa Genebra, Campinas/SP, Brasil, 13087-901"
PRSN11B,Residencial,180,"-17,97%","21,02%",38,5.816.240,413,2,"9.871,54",000,"0,00%","0,00%","Estrada de Barra da Tijuca 345, Barra da Tijuca , Rio de Janeiro,Avenida Geremario Dantas 1401, Jacarepagua , Rio de Janeiro"
PRSV11,Lajes Corporativas,13198,"2,63%","0,00%",60,25.736.100,3.241,1,"2.303,90",27570,"11,97%","100,00%","Avenida Presidente Vargas, 850, Centro, Rio de Janeiro - RJ"
PURB11,Híbrido,9510,"-1,81%","2,51%",88,107.954.000,0,2,"19.050,50","2.997,44","15,73%","0,00%","Rua Bruno Giorgi, nº 114, Jacarepaguá - Rio de Janeiro,Avenida Flamboyants, nº 855 - Barra da Tijuca"
PVBI11,Lajes Corporativas,8677,"2,61%","7,86%",84,871.127.000,2.618.590,4,"7.981,26",80417,"10,08%","0,00%","Avenida Brigadeiro Faria Lima, 4440, Itaim Bibi, São Paulo/SP, Brasil, 04538-132,Avenida Brigadeiro Luis Antonio, 3521, Jardim Paulista, Sao Paulo/SP, Brasil, 01401-001,Rua Leopoldo Couto Magalhaes Júnior, 822, Itaim Bibi, São Paulo/SP, Brasil, 04542-000,Avenida Presidente Juscelino Kubitschek, 2041, Vila Olímpia, Sao Paulo/SP, Brasil, 04543-011"
QAGR11,Outros,4210,"11,55%","11,45%",75,212.184.000,292.137,12,"2.505,65",32936,"13,14%","0,00%","Avenida Jose Bonifacio, 769, Vila Atalaia, Cambe/PR, Brasil, 86181-570,Rodovia Pr493, 5500, , Fraron, Pato Branco/PR, Brasil, 85503-378,Avenida Senador Attilio Fontana, 1989, Parque Sao Joao, Paranagua/PR, Brasil, 83212-250,Linha Agroisa, S/n, Nas Margens Da Rodovia Sc 305, S/n, Campo Ere/SC, Brasil, 89980-000,Km 186, S/n, Assai/PR, Brasil, 86220-000,Rua Barra Mansa, S/n, Pinheirinho, Francisco Beltrao/PR, Brasil, 85603-260,Rodovia Pr 218, Km 12, Gleba Patr. Sabáudia, Sabaudia/PR, Brasil, 86720-000,Rodovia Br364, Km 203, Setor Francisco Antonio, Jatai/GO, Brasil, 75801-615,Rodovia Pr 537, Km 0.3, Bela Vista Do Paraiso/PR, Brasil, 86130-000,Rua Goias, 540, Nazaré, Medianeira/PR, Brasil, 85884-000,Anel Viario Ayrton Senna, 2000, Distrito Industrial, Uberlandia/MG, Brasil, 38402-329,Rodovia Mg 190, Km 72, Nova Ponte/MG, Brasil, 38160-000"
QAMI11,Híbrido,7805,"30,29%","15,54%",85,62.549.100,33.664,0,000,000,"0,00%","0,00%",
QIRI11,Títulos e Val. Mob.,7804,"9,53%","5,12%",87,11.706.000,0,0,000,000,"0,00%","0,00%",
RBBV11,Títulos e Val. Mob.,10000,"6,51%","0,00%",99,125.416.000,0,0,000,000,"0,00%","0,00%",
RBCO11,Lajes Corporativas,4400,"12,33%","8,39%",49,166.276.000,144.616,4,"3.812,31",61484,"16,13%","0,00%","Rua Bela Cintra, 986, São Paulo - SP,Av. Morumbi, 8.234, São Paulo - SP,Alameda Santos, nº 1.039, São Paulo - SP,Av. das Nações Unidas, 17.891, São Paulo - SP"
RBDS11,Residencial,334,"-49,77%","0,00%",17,422.587,489,0,000,000,"0,00%","0,00%",
RBED11,Outros,12250,"10,90%","11,70%",85,282.949.000,157.374,8,"2.619,29",28688,"10,95%","0,00%","Avenida Beira Rio, 3.001, Jardim Europa - Cuiabá/MT,Avenida São Luís Rei de França, 32, Turu - São Luís/MA,Rua Timbiras, 1387, Funcionários - Belo Horizonte/MG,Rua da Consolação, nºs 2.320 e 2.322 - São Paulo/SP,Av. Dr. Rudge Ramos, nº 1.501 - São Bernardo do Campo/SP,Rua Jequitibá, 401, Horto - Ipatinga/MG,Avenida Presidente Juscelino Kubitschek, n° 227/229 e 247, Centro - Betim/MG,Rua Senador Fláquer, 456 - Centro - Santo André-SP"
RBFF11,Títulos e Val. Mob.,4888,"12,85%","12,13%",78,183.262.000,216.746,0,000,000,"0,00%","0,00%",
RBGS11,Shoppings,2845,"3,30%","0,00%",31,30.669.100,0,1,"1.051,57",5268,"5,01%","11,94%","Avenida Marechal Fontenelle, 3545 - Rio de Janeiro, RJ - CEP 21740-001"
RBHG11,Títulos e Val. Mob.,8336,"10,65%","16,67%",90,144.011.000,252.949,0,000,000,"0,00%","0,00%",
RBIR11,Residencial,6177,"-2,65%","1,12%",65,94.422.600,42.882,0,000,000,"0,00%","0,00%",
RBIV11,Títulos e Val. Mob.,8370,"10,61%","0,00%",90,144.599.000,0,0,000,000,"0,00%","0,00%",
RBLG11,Logística,9321,"12,20%","10,80%",94,59.672.900,67.515,1,33736,3381,"10,02%","0,00%","Km 11, 3010, Zona De Expansão Urbana, Parauapebas-pa, Rodovia Pa-275, Parauapebas/PA, Brasil, 68515-000"
RBOP11,Outros,51900,"26,05%","9,13%",67,52.763.600,65.772,2,"2.854,26",71203,"24,95%","4,34%","Rua Rio de Janeiro, 654, Belo Horizonte/MG,Avenida Rio Branco, 89, Centro, Rio de Janeiro/RJ"
RBRD11,Híbrido,3395,"13,21%","10,62%",51,62.868.100,34.739,4,"2.266,69",39339,"17,36%","27,96%","RUA DR. NILO PEÇANHA Nº 564, BAIRRO SÃO MIGUEL - SÃO GONÇALO  RJ,RUA DO CATETE N° 194 E 196, ESQUINA COM RUA CORREA DUTRA - RIO DE JANEIRO  RJ,RUA JOÃO PESSOA, 86 - NATAL  RN,RODOVIA AYRTON SENNA - UBERLÂNDIA - MG"
RBRF11,Títulos e Val. Mob.,6720,"10,95%","11,00%",84,919.348.000,2.158.480,0,000,000,"0,00%","0,00%",
RBRI11,Híbrido,99989,"-2,17%","0,00%",82,129.937.000,0,0,000,000,"0,00%","0,00%",
RBRL11,Logística,7470,"9,30%","10,31%",70,499.522.000,525.000,5,"1.646,72",19539,"11,87%","0,00%","Estrada Municipal Luiz Lopes Neto, nº 21, Bairro dos Tenentes - Extrema/MG,Estrada Municipal Vargem do João Pinto nº 450, Gleba 1 - Extrema/MG,Rod. Presidente Tancredo Neves, km45,Condomínio Tech Town, unid nº7, Rodovia SP 101, Hortolândia, Comarca de Sumaré/SP,Est Carlos Roberto Prataviera, nº 650, Hortolândia, Comarca de Sumaré/SP"
RBRP11,Outros,4492,"10,82%","10,41%",57,547.089.000,873.086,10,"7.944,94",90688,"11,41%","0,00%","Rua Gomes de Carvalho, 1.356, São Paulo - SP,Avenida Venezuela, 43 - Saúde - Rio de Janeiro - RJ,Av. República do Chile, 230  Centro, Rio de Janeiro - RJ,Rua Gerivatiba, esquina com a Rua Pirajussara, nºs 71, 87 e 95, com frente também para a Rua Desembargador Armando Fairbanks, nº 32, Pinheiros, São Paulo  SP.,Av. Brigadeiro Faria Lima nº 1.461, Pinheiros, São Paulo/SP,Rua Casa do Ator, 1.155 - Vila Olímpia - São Paulo - SP, Alameda Grajaú, nº 98  Alphaville Industrial, Barueri/SP,Rua Cincinato Braga, 340 - Bela Vista - São Paulo - SP,Rua Amauri, 299, 311 (lojas) e 305 (entrada), Jardim Paulistano.,Avenida João Dias n° 1.645 - Santo Amaro, São Paulo - SP"
RBRR11,Títulos e Val. Mob.,8685,"10,71%","13,67%",92,1.167.170.000,3.983.570,0,000,000,"0,00%","0,00%",
